acronym,call,priority
DigiH4A,Call 4C (FA),Priority 1
BRAVE,Call 4C (FA),Priority 1
SIRR,Call 1C (FA),Priority 1
DISCO,Call 4C (FA),Priority 1
Digital Kiosks,Call 4C (FA),Priority 1
H2ignite,Call 4C (FA),Priority 1
CircleBIM,Call 4C (FA),Priority 1
SUPER,Call 2B (SSP),Priority 1
SSCH,Call 4C (FA),Priority 1
STORM_SAFE,Call 3C (FA),Priority 1
ACE,Call 1C (FA),Priority 1
CR,Call 1C (FA),Priority 1
D4A,Call 1C (FA),Priority 1
3ST,Call 3C (FA),Priority 1
SUSTAIN-3D,Call 2B (SSP),Priority 1
GRIT,Call 3B (SSP),Priority 1
OASIS,Call 4C (FA),Priority 1
NESSIE,Call 3C (FA),Priority 1
WaterWarmth,Call 2C (FA),Priority 2
REDII Ports,Call 1C (FA),Priority 2
LIHYP,Call 2C (FA),Priority 2
DIOL,Call 2C (FA),Priority 2
GRITH,Call 2C (FA),Priority 2
COPPER,Call 2C (FA),Priority 2
ANCHOR,Call 2C (FA),Priority 2
CIBIP,Call 1B (SSP),Priority 2
CTB,Call 3C (FA),Priority 2
CEO,Call 2C (FA),Priority 2
GREEN,Call 2B (SSP),Priority 2
BBoBB,Call 3C (FA),Priority 2
CLOSECYCLE,Call 3C (FA),Priority 2
MM,Call 3C (FA),Priority 2
InnoWaTr,Call 2C (FA),Priority 2
SN2,Call 1C (FA),Priority 2
SMALL,Call 1C (FA),Priority 2
Active Cities,Call 1C (FA),Priority 2
MoLo Hubs,Call 2C (FA),Priority 2
GREEN SUPPLY CHAINS,Call 3C (FA),Priority 2
MegaBITS,Call 2C (FA),Priority 2
ShareDiMobiHub,Call 1C (FA),Priority 2
FIER,Call 3C (FA),Priority 3
COOL CITIES,Call 3C (FA),Priority 3
MANABAS COAST,Call 1C (FA),Priority 3
Blue Transition,Call 1C (FA),Priority 3
KID,Call 1B (SSP),Priority 3
Anemoi,Call 1C (FA),Priority 3
Biodiverse Cities,Call 1C (FA),Priority 3
TREASURE,Call 2C (FA),Priority 3
DivGrass,Call 2C (FA),Priority 3
Clancy,Call 2C (FA),Priority 3
DARKER SKY,Call 2C (FA),Priority 3
REMARCO,Call 2C (FA),Priority 3
DEMASK,Call 3C (FA),Priority 3
EXPBIO,Call 3C (FA),Priority 3
FREIIA,Call 1C (FA),Priority 4
Norsaic,Call 2C (FA),Priority 4
GLEAM NSR,Call 3C (FA),Priority 4
Green Team,Call 3C (FA),Priority 4
LISTEN,Call 3B (SSP),Priority 4
NS H2V Ports,Call 3C (FA),Priority 4
SELECT,Call 2B (SSP),Priority 4
SPIES,Call 3B (SSP),Priority 4
Speak Up,Call 3C (FA),Priority 4
EHRIN,Call 2B (SSP),Priority 4
BIOZE,Call 1B (SSP),Priority 4
